iter	Passed	Remaining
0	203	203733
1	211	105407
2	216	72071
3	222	55517
4	228	45461
5	234	38810
6	240	34141
7	246	30545
8	252	27813
9	259	25644
10	266	23938
11	271	22375
12	279	21243
13	285	20108
14	292	19178
15	297	18319
16	303	17549
17	311	16977
18	316	16360
19	324	15882
20	330	15402
21	337	15023
22	343	14592
23	348	14160
24	354	13823
25	359	13473
26	366	13214
27	372	12915
28	377	12646
29	383	12393
30	388	12159
31	395	11956
32	400	11749
33	405	11527
34	413	11409
35	420	11256
36	428	11152
37	435	11026
38	441	10888
39	447	10736
40	453	10599
41	459	10491
42	465	10358
43	471	10238
44	476	10103
45	482	10005
46	488	9904
47	493	9788
48	500	9706
49	505	9611
50	512	9536
51	517	9434
52	522	9344
53	528	9262
54	532	9157
55	539	9091
56	545	9022
57	550	8939
58	556	8878
59	561	8798
60	567	8742
61	574	8685
62	579	8613
63	585	8556
64	592	8522
65	598	8464
66	603	8409
67	609	8347
68	615	8300
69	620	8244
70	625	8183
71	631	8138
72	638	8109
73	644	8062
74	649	8010
75	654	7962
76	660	7919
77	665	7867
78	670	7815
79	676	7783
80	681	7736
81	687	7694
82	690	7630
83	696	7590
84	701	7550
85	706	7512
86	712	7475
87	718	7441
88	723	7406
89	728	7370
90	734	7341
91	742	7326
92	750	7318
93	756	7293
94	764	7278
95	769	7249
96	774	7212
97	781	7188
98	785	7149
99	791	7121
100	797	7096
101	802	7064
102	809	7051
103	814	7018
104	819	6988
105	826	6974
106	834	6966
107	840	6945
108	845	6913
109	851	6890
110	857	6865
111	862	6838
112	869	6827
113	875	6803
114	886	6824
115	892	6800
116	897	6774
117	903	6749
118	908	6724
119	913	6698
120	918	6672
121	922	6637
122	927	6613
123	932	6585
124	936	6553
125	940	6522
126	944	6490
127	948	6461
128	952	6434
129	959	6418
130	963	6392
131	967	6365
132	974	6354
133	980	6338
134	989	6339
135	994	6319
136	999	6294
137	1004	6275
138	1010	6257
139	1014	6233
140	1020	6214
141	1023	6182
142	1027	6160
143	1032	6137
144	1036	6112
145	1041	6089
146	1045	6066
147	1052	6060
148	1057	6040
149	1063	6023
150	1068	6005
151	1073	5991
152	1083	5997
153	1090	5989
154	1096	5976
155	1107	5990
156	1114	5984
157	1120	5970
158	1126	5958
159	1132	5944
160	1136	5921
161	1141	5907
162	1147	5891
163	1154	5886
164	1160	5871
165	1165	5853
166	1170	5840
167	1175	5821
168	1181	5808
169	1187	5795
170	1193	5787
171	1201	5783
172	1206	5768
173	1215	5769
174	1221	5758
175	1232	5771
176	1238	5758
177	1246	5756
178	1252	5744
179	1258	5734
180	1264	5723
181	1270	5708
182	1276	5700
183	1281	5684
184	1286	5668
185	1292	5655
186	1297	5642
187	1303	5628
188	1308	5615
189	1314	5603
190	1320	5594
191	1325	5579
192	1335	5585
193	1340	5571
194	1346	5558
195	1352	5548
196	1359	5542
197	1367	5540
198	1374	5534
199	1382	5531
200	1389	5523
201	1396	5518
202	1405	5517
203	1415	5523
204	1421	5511
205	1431	5518
206	1437	5505
207	1444	5501
208	1449	5487
209	1455	5474
210	1460	5462
211	1465	5448
212	1472	5440
213	1477	5427
214	1482	5412
215	1488	5403
216	1493	5390
217	1498	5376
218	1504	5364
219	1510	5354
220	1518	5354
221	1524	5342
222	1531	5335
223	1536	5323
224	1543	5317
225	1551	5314
226	1557	5304
227	1564	5298
228	1570	5286
229	1576	5277
230	1581	5263
231	1588	5258
232	1593	5244
233	1598	5232
234	1604	5221
235	1609	5210
236	1614	5196
237	1619	5186
238	1624	5172
239	1629	5160
240	1634	5148
241	1639	5136
242	1644	5124
243	1650	5114
244	1656	5103
245	1663	5097
246	1668	5086
247	1673	5075
248	1681	5072
249	1687	5061
250	1692	5051
251	1697	5039
252	1702	5026
253	1707	5015
254	1712	5003
255	1717	4991
256	1723	4983
257	1728	4970
258	1732	4957
259	1740	4952
260	1745	4941
261	1750	4929
262	1756	4922
263	1761	4910
264	1766	4899
265	1771	4888
266	1776	4876
267	1781	4865
268	1786	4854
269	1790	4842
270	1796	4831
271	1802	4823
272	1806	4811
273	1812	4802
274	1817	4791
275	1822	4780
276	1827	4770
277	1832	4759
278	1837	4747
279	1842	4738
280	1847	4727
281	1852	4717
282	1858	4709
283	1863	4697
284	1867	4685
285	1873	4677
286	1877	4665
287	1882	4654
288	1889	4647
289	1893	4636
290	1899	4627
291	1904	4616
292	1908	4606
293	1913	4594
294	1918	4585
295	1923	4573
296	1928	4563
297	1932	4553
298	1937	4543
299	1941	4531
300	1946	4519
301	1951	4509
302	1955	4498
303	1960	4487
304	1964	4476
305	1968	4465
306	1972	4453
307	1978	4445
308	1983	4435
309	1988	4425
310	1993	4417
311	1998	4407
312	2002	4396
313	2008	4387
314	2013	4378
315	2018	4368
316	2023	4359
317	2028	4350
318	2032	4339
319	2038	4331
320	2043	4321
321	2047	4311
322	2052	4301
323	2057	4292
324	2061	4282
325	2067	4274
326	2072	4266
327	2077	4256
328	2083	4249
329	2087	4238
330	2092	4229
331	2097	4219
332	2102	4210
333	2106	4201
334	2111	4192
335	2116	4182
336	2121	4173
337	2128	4169
338	2134	4161
339	2140	4154
340	2146	4147
341	2150	4137
342	2155	4128
343	2161	4121
344	2165	4112
345	2170	4102
346	2174	4092
347	2179	4084
348	2184	4075
349	2189	4066
350	2194	4057
351	2198	4048
352	2204	4040
353	2209	4031
354	2213	4021
355	2218	4013
356	2223	4004
357	2228	3995
358	2233	3988
359	2238	3978
360	2242	3969
361	2247	3961
362	2253	3953
363	2257	3945
364	2263	3937
365	2268	3929
366	2273	3921
367	2279	3914
368	2284	3906
369	2289	3897
370	2294	3890
371	2299	3882
372	2304	3873
373	2309	3866
374	2314	3857
375	2318	3848
376	2323	3839
377	2328	3831
378	2333	3823
379	2338	3815
380	2343	3807
381	2348	3799
382	2354	3792
383	2359	3784
384	2363	3775
385	2368	3767
386	2373	3759
387	2377	3750
388	2382	3742
389	2388	3735
390	2393	3727
391	2398	3719
392	2403	3712
393	2408	3703
394	2412	3695
395	2417	3687
396	2422	3679
397	2427	3671
398	2432	3664
399	2437	3656
400	2442	3648
401	2448	3641
402	2453	3633
403	2458	3626
404	2463	3618
405	2468	3610
406	2472	3602
407	2477	3595
408	2482	3587
409	2487	3579
410	2492	3571
411	2497	3563
412	2501	3555
413	2506	3547
414	2511	3539
415	2515	3531
416	2521	3524
417	2526	3518
418	2532	3511
419	2537	3504
420	2542	3497
421	2548	3490
422	2553	3483
423	2558	3475
424	2563	3468
425	2569	3462
426	2574	3454
427	2578	3446
428	2584	3439
429	2589	3432
430	2595	3426
431	2600	3418
432	2605	3412
433	2612	3407
434	2617	3400
435	2622	3392
436	2628	3386
437	2633	3379
438	2639	3372
439	2644	3365
440	2649	3358
441	2655	3352
442	2661	3346
443	2666	3339
444	2673	3333
445	2678	3327
446	2684	3321
447	2691	3316
448	2696	3308
449	2703	3303
450	2708	3297
451	2714	3291
452	2720	3285
453	2725	3278
454	2733	3273
455	2738	3267
456	2746	3262
457	2751	3255
458	2756	3248
459	2762	3243
460	2768	3236
461	2776	3233
462	2784	3229
463	2789	3222
464	2795	3215
465	2800	3208
466	2807	3203
467	2813	3197
468	2818	3190
469	2824	3184
470	2828	3177
471	2835	3171
472	2840	3164
473	2845	3157
474	2850	3150
475	2855	3143
476	2860	3136
477	2865	3129
478	2873	3125
479	2879	3119
480	2885	3113
481	2891	3107
482	2897	3101
483	2903	3095
484	2908	3088
485	2914	3082
486	2920	3075
487	2925	3069
488	2931	3063
489	2936	3056
490	2944	3051
491	2949	3045
492	2958	3042
493	2963	3034
494	2969	3029
495	2975	3023
496	2980	3016
497	2986	3010
498	2993	3005
499	3000	3000
500	3005	2993
501	3010	2986
502	3016	2980
503	3023	2975
504	3030	2970
505	3036	2964
506	3042	2958
507	3048	2952
508	3052	2944
509	3060	2940
510	3065	2933
511	3069	2926
512	3077	2921
513	3082	2914
514	3090	2910
515	3096	2904
516	3102	2898
517	3108	2892
518	3113	2885
519	3118	2878
520	3124	2872
521	3131	2867
522	3138	2862
523	3143	2855
524	3149	2849
525	3155	2843
526	3160	2836
527	3166	2830
528	3171	2824
529	3177	2818
530	3184	2812
531	3189	2806
532	3195	2799
533	3200	2792
534	3206	2787
535	3212	2780
536	3217	2773
537	3223	2767
538	3228	2761
539	3233	2754
540	3240	2749
541	3245	2742
542	3250	2735
543	3257	2730
544	3262	2723
545	3268	2718
546	3274	2711
547	3278	2704
548	3284	2698
549	3289	2691
550	3295	2685
551	3300	2678
552	3305	2672
553	3311	2665
554	3317	2659
555	3321	2652
556	3327	2646
557	3332	2640
558	3337	2632
559	3343	2626
560	3348	2620
561	3353	2613
562	3358	2606
563	3363	2600
564	3367	2592
565	3372	2586
566	3378	2580
567	3383	2573
568	3389	2567
569	3394	2560
570	3399	2553
571	3405	2547
572	3409	2540
573	3414	2534
574	3420	2528
575	3425	2521
576	3430	2514
577	3436	2508
578	3441	2502
579	3446	2495
580	3451	2488
581	3456	2482
582	3461	2475
583	3466	2469
584	3471	2462
585	3475	2455
586	3480	2448
587	3484	2441
588	3488	2434
589	3493	2427
590	3498	2421
591	3503	2414
592	3507	2407
593	3512	2400
594	3517	2394
595	3522	2387
596	3528	2381
597	3532	2374
598	3537	2367
599	3542	2361
600	3546	2354
601	3550	2347
602	3555	2340
603	3559	2333
604	3564	2327
605	3568	2320
606	3573	2313
607	3577	2306
608	3582	2299
609	3587	2293
610	3591	2286
611	3595	2279
612	3600	2272
613	3604	2266
614	3608	2259
615	3612	2252
616	3617	2245
617	3621	2238
618	3626	2231
619	3631	2226
620	3636	2219
621	3640	2212
622	3645	2205
623	3649	2199
624	3653	2192
625	3658	2185
626	3663	2179
627	3668	2172
628	3673	2166
629	3679	2160
630	3685	2155
631	3691	2149
632	3697	2143
633	3702	2137
634	3709	2132
635	3715	2126
636	3721	2120
637	3728	2115
638	3733	2109
639	3739	2103
640	3744	2097
641	3751	2091
642	3759	2087
643	3765	2081
644	3772	2076
645	3779	2071
646	3785	2065
647	3789	2058
648	3797	2054
649	3803	2047
650	3818	2046
651	3827	2043
652	3833	2037
653	3838	2030
654	3845	2025
655	3850	2019
656	3856	2013
657	3862	2007
658	3867	2001
659	3873	1995
660	3878	1989
661	3885	1983
662	3890	1977
663	3897	1972
664	3902	1966
665	3907	1959
666	3913	1953
667	3922	1949
668	3928	1943
669	3935	1938
670	3940	1932
671	3945	1925
672	3951	1919
673	3958	1914
674	3965	1909
675	3971	1903
676	3978	1898
677	3983	1892
678	3988	1885
679	3995	1880
680	4008	1877
681	4014	1871
682	4019	1865
683	4023	1859
684	4029	1852
685	4034	1846
686	4041	1841
687	4046	1834
688	4051	1828
689	4057	1822
690	4062	1816
691	4068	1810
692	4074	1804
693	4081	1799
694	4087	1793
695	4094	1788
696	4099	1782
697	4105	1776
698	4110	1770
699	4121	1766
700	4134	1763
701	4139	1757
702	4146	1751
703	4151	1745
704	4158	1740
705	4163	1733
706	4168	1727
707	4174	1721
708	4178	1715
709	4183	1708
710	4190	1703
711	4195	1697
712	4203	1691
713	4208	1685
714	4213	1679
715	4221	1674
716	4226	1668
717	4231	1661
718	4237	1655
719	4242	1649
720	4250	1644
721	4256	1638
722	4262	1632
723	4267	1626
724	4273	1621
725	4280	1615
726	4287	1610
727	4295	1604
728	4300	1598
729	4305	1592
730	4310	1586
731	4315	1580
732	4323	1574
733	4328	1568
734	4332	1562
735	4337	1555
736	4343	1549
737	4347	1543
738	4352	1537
739	4356	1530
740	4361	1524
741	4366	1518
742	4370	1511
743	4375	1505
744	4380	1499
745	4385	1493
746	4389	1486
747	4393	1480
748	4398	1473
749	4402	1467
750	4406	1460
751	4411	1454
752	4415	1448
753	4419	1441
754	4423	1435
755	4428	1429
756	4432	1422
757	4436	1416
758	4440	1409
759	4445	1403
760	4449	1397
761	4453	1391
762	4458	1384
763	4462	1378
764	4467	1372
765	4472	1366
766	4476	1359
767	4481	1353
768	4484	1347
769	4490	1341
770	4494	1334
771	4498	1328
772	4503	1322
773	4507	1316
774	4511	1309
775	4517	1304
776	4522	1297
777	4526	1291
778	4531	1285
779	4536	1279
780	4540	1273
781	4545	1267
782	4549	1260
783	4554	1254
784	4558	1248
785	4563	1242
786	4567	1236
787	4571	1229
788	4576	1223
789	4581	1217
790	4585	1211
791	4589	1205
792	4594	1199
793	4598	1193
794	4602	1186
795	4607	1180
796	4612	1174
797	4618	1169
798	4623	1163
799	4628	1157
800	4632	1150
801	4637	1144
802	4642	1138
803	4647	1132
804	4651	1126
805	4656	1120
806	4660	1114
807	4664	1108
808	4669	1102
809	4674	1096
810	4678	1090
811	4683	1084
812	4687	1078
813	4694	1072
814	4701	1067
815	4707	1061
816	4711	1055
817	4717	1049
818	4722	1043
819	4726	1037
820	4732	1031
821	4737	1025
822	4742	1019
823	4749	1014
824	4754	1008
825	4761	1003
826	4766	997
827	4771	991
828	4777	985
829	4782	979
830	4786	973
831	4794	968
832	4799	962
833	4804	956
834	4809	950
835	4814	944
836	4819	938
837	4824	932
838	4833	927
839	4838	921
840	4843	915
841	4848	909
842	4853	903
843	4858	898
844	4864	892
845	4868	886
846	4873	880
847	4878	874
848	4882	868
849	4887	862
850	4891	856
851	4896	850
852	4901	844
853	4905	838
854	4910	832
855	4914	826
856	4918	820
857	4922	814
858	4927	808
859	4932	802
860	4936	796
861	4943	791
862	4948	785
863	4951	779
864	4958	773
865	4965	768
866	4971	762
867	4975	756
868	4979	750
869	4985	744
870	4989	738
871	4992	732
872	4996	726
873	5002	721
874	5006	715
875	5013	709
876	5018	703
877	5022	697
878	5026	691
879	5031	686
880	5034	680
881	5038	674
882	5042	668
883	5047	662
884	5050	656
885	5054	650
886	5058	644
887	5062	638
888	5067	632
889	5071	626
890	5076	621
891	5081	615
892	5085	609
893	5090	603
894	5095	597
895	5098	591
896	5104	586
897	5110	580
898	5114	574
899	5118	568
900	5122	562
901	5127	557
902	5132	551
903	5138	545
904	5141	539
905	5146	533
906	5152	528
907	5157	522
908	5162	516
909	5166	511
910	5172	505
911	5175	499
912	5181	493
913	5185	487
914	5189	482
915	5195	476
916	5200	470
917	5204	464
918	5210	459
919	5216	453
920	5220	447
921	5225	442
922	5230	436
923	5234	430
924	5239	424
925	5243	419
926	5247	413
927	5251	407
928	5257	401
929	5261	396
930	5265	390
931	5269	384
932	5275	378
933	5279	373
934	5285	367
935	5289	361
936	5293	355
937	5298	350
938	5305	344
939	5308	338
940	5313	333
941	5319	327
942	5324	321
943	5330	316
944	5335	310
945	5340	304
946	5346	299
947	5351	293
948	5354	287
949	5359	282
950	5364	276
951	5368	270
952	5374	265
953	5379	259
954	5383	253
955	5388	248
956	5395	242
957	5401	236
958	5405	231
959	5409	225
960	5412	219
961	5416	213
962	5422	208
963	5425	202
964	5428	196
965	5432	191
966	5438	185
967	5443	179
968	5446	174
969	5450	168
970	5455	162
971	5459	157
972	5463	151
973	5467	145
974	5471	140
975	5475	134
976	5479	128
977	5483	123
978	5487	117
979	5491	112
980	5495	106
981	5499	100
982	5503	95
983	5508	89
984	5513	83
985	5516	78
986	5519	72
987	5523	67
988	5527	61
989	5531	55
990	5534	50
